Date,btc_vol_compression_z
2018-01-30,-1.0259609064265456
2018-01-31,-1.017322865153948
2018-02-01,-0.9655998339409783
2018-02-02,-0.9564340514057758
2018-02-03,-0.9714210699691308
2018-02-04,-0.7738102084296026
2018-02-05,-1.0327212100312144
2018-02-06,-1.2907367161558352
2018-02-07,-1.2367854103792326
2018-02-08,-1.368919197308465
2018-02-09,-1.4081590321948003
2018-02-10,-1.2886809258546232
2018-02-11,-1.263305596109926
2018-02-12,-1.402359416474554
2018-02-13,-1.3914442029751597
2018-02-14,-1.552504128987202
2018-02-15,-1.2728350371523958
2018-02-16,-1.2586473298806384
2018-02-17,-1.3416884312421045
2018-02-18,-1.3676916513769497
2018-02-19,-1.2481544993324387
2018-02-20,-1.106054319840439
2018-02-21,-1.1091809049348706
2018-02-22,-1.161811009074374
2018-02-23,-1.1397325400646723
2018-02-24,-1.1628423035222746
2018-02-25,-1.159056218058575
2018-02-26,-1.2203723805930977
2018-02-27,-1.2184798268870953
2018-02-28,-1.2018578857358986
2018-03-01,-1.0697626104584979
2018-03-02,-1.0649347757587664
2018-03-03,-0.8949216106099072
2018-03-04,-0.8576316503647984
2018-03-05,-0.8412108529592408
2018-03-06,-0.7521057246847465
2018-03-07,-0.38738267406733906
2018-03-08,-0.2733370671870134
2018-03-09,-0.261453742643801
2018-03-10,-0.20321739548702744
2018-03-11,-0.25467529714103837
2018-03-12,-0.2791504298088181
2018-03-13,-0.20598306818144216
2018-03-14,-0.2281990615450827
2018-03-15,-0.19993808040678474
2018-03-16,0.018842752893808302
2018-03-17,0.09666035061713706
2018-03-18,0.06022674502082956
2018-03-19,0.17387351069862664
2018-03-20,0.1859648186161792
2018-03-21,0.28962515168305847
2018-03-22,0.29679873369578785
2018-03-23,0.3549029469605726
2018-03-24,0.4273103485324908
2018-03-25,0.44874880276716184
2018-03-26,0.47095993410344617
2018-03-27,0.43431052206302445
2018-03-28,0.5720332173030417
2018-03-29,0.43033260751771213
2018-03-30,0.4216620314964843
2018-03-31,0.5094596129264138
2018-04-01,0.5253284283561023
2018-04-02,0.5275973392146225
2018-04-03,0.4276406474014926
2018-04-04,0.3372484691688023
2018-04-05,0.3991438586729465
2018-04-06,0.4845850315280745
2018-04-07,0.46997682166575494
2018-04-08,0.45461326126561946
2018-04-09,0.47796773795052583
2018-04-10,0.6649664285386644
2018-04-11,0.664960931033988
2018-04-12,0.2199761238725004
2018-04-13,0.43551539032550063
2018-04-14,0.4324956728544842
2018-04-15,0.3911991708654462
2018-04-16,0.42727525242785563
2018-04-17,0.4537527595688858
2018-04-18,0.48838690568653703
2018-04-19,0.5109833845850217
2018-04-20,0.4087801195777109
2018-04-21,0.42463430278657016
2018-04-22,0.4310884648687388
2018-04-23,0.44711517461460865
2018-04-24,0.3108750477599049
2018-04-25,0.1618111288502176
2018-04-26,0.1825930498926384
2018-04-27,0.16012841896460173
2018-04-28,0.39807750279203946
2018-04-29,0.46227405580343794
2018-04-30,0.44893229175439686
2018-05-01,0.46316223601866924
2018-05-02,0.48545673466639855
2018-05-03,0.4880729497639133
2018-05-04,0.7061144992200143
2018-05-05,0.7242664187617813
2018-05-06,0.7440712232833339
2018-05-07,0.7307501093404746
2018-05-08,0.7224735517119589
2018-05-09,0.7908700621968677
2018-05-10,0.7527694348805882
2018-05-11,0.6110240533555901
2018-05-12,1.0776279632882388
2018-05-13,1.0687200828780878
2018-05-14,1.0761714035988554
2018-05-15,1.1113942170902336
2018-05-16,1.1430517212759785
2018-05-17,1.1236133432156443
2018-05-18,1.1500201215038401
2018-05-19,1.1615667097469144
2018-05-20,1.2775845659242533
2018-05-21,1.2783952119357636
2018-05-22,1.2210484265619583
2018-05-23,1.1299711983576817
2018-05-24,1.416535437347723
2018-05-25,1.6650165455388617
2018-05-26,1.7833225736573508
2018-05-27,1.7986531049996324
2018-05-28,1.8637964628952652
2018-05-29,1.733479729200668
2018-05-30,1.7306725394037956
2018-05-31,1.710032547998288
2018-06-01,1.710123325936573
2018-06-02,1.848390719656018
2018-06-03,1.824648923350467
2018-06-04,1.8247851027474693
2018-06-05,1.7958702677934881
2018-06-06,1.8028810389773318
2018-06-07,1.7916040800332615
2018-06-08,1.791902915336064
2018-06-09,1.805037593833684
2018-06-10,1.588181005520957
2018-06-11,1.5656555458235317
2018-06-12,1.5410611180896197
2018-06-13,1.5105670520527494
2018-06-14,1.37863255904887
2018-06-15,1.352739037496582
2018-06-16,1.3524542995057844
2018-06-17,1.3703680114476995
2018-06-18,1.3005974005934144
2018-06-19,1.3421284896532104
2018-06-20,1.3341457713942957
2018-06-21,1.3807421709328316
2018-06-22,1.1986367798420026
2018-06-23,1.1854282699404508
2018-06-24,1.1812970196991468
2018-06-25,1.171352500581276
2018-06-26,1.1570909934464464
2018-06-27,1.1687819424777677
2018-06-28,1.2164189022650926
2018-06-29,1.0994359398670468
2018-06-30,1.0683762323516557
2018-07-01,1.0702799255195314
2018-07-02,1.0288750784074723
2018-07-03,1.0317494399207734
2018-07-04,1.0387145701971656
2018-07-05,1.046448891945364
2018-07-06,1.0448976342284637
2018-07-07,1.0169183367361287
2018-07-08,1.0149840412916056
2018-07-09,1.0173553188850484
2018-07-10,1.2023446324096727
2018-07-11,1.2090099024529035
2018-07-12,1.2581344526774696
2018-07-13,1.298852846511777
2018-07-14,1.3935466988846528
2018-07-15,1.4208240740261475
2018-07-16,1.2996003723281015
2018-07-17,1.0747088743682882
2018-07-18,1.1034837995730618
2018-07-19,1.0974566096807363
2018-07-20,1.0808632264427707
2018-07-21,1.0775210599155063
2018-07-22,1.4177793404636538
2018-07-23,1.3727953722867456
2018-07-24,1.132142701839507
2018-07-25,1.077645372851989
2018-07-26,1.0645446857712606
2018-07-27,1.0496304319573724
2018-07-28,1.1275186229386807
2018-07-29,1.1790848616928546
2018-07-30,1.1802205913711086
2018-07-31,1.072633154475766
2018-08-01,1.0726944465519448
2018-08-02,1.0719569708894512
2018-08-03,1.0509274554642871
2018-08-04,0.9434404189183028
2018-08-05,0.9383138471289367
2018-08-06,0.943081983088656
2018-08-07,0.9169750214259323
2018-08-08,0.7863536264298692
2018-08-09,0.8402932271417187
2018-08-10,0.7382282801311253
2018-08-11,0.7444361133709417
2018-08-12,0.7397247041772101
2018-08-13,0.7353881900145962
2018-08-14,0.7288241345747737
2018-08-15,0.8220026169709491
2018-08-16,1.0619797746385733
2018-08-17,1.0008513947389992
2018-08-18,0.9918352557867961
2018-08-19,0.9834326050948586
2018-08-20,0.9641226868081122
2018-08-21,0.9278420711167447
2018-08-22,0.9822368973482847
2018-08-23,1.2849092735988161
2018-08-24,1.251371550857923
2018-08-25,1.2606022000726862
2018-08-26,1.2953880375263402
2018-08-27,1.2554555356801629
2018-08-28,1.2078327167648464
2018-08-29,1.2041723864429348
2018-08-30,1.2735975556565229
2018-08-31,1.2766500863309416
2018-09-01,1.2533233297205635
2018-09-02,1.2544109160745032
2018-09-03,1.3637683178498465
2018-09-04,1.3536509120740532
2018-09-05,1.1364113280878698
2018-09-06,1.1104687066952912
2018-09-07,1.2622915096542282
2018-09-08,1.2711506528866219
2018-09-09,1.3922918307729815
2018-09-10,1.398488263341834
2018-09-11,1.394137480572636
2018-09-12,1.3896436034795145
2018-09-13,1.3719056525791362
2018-09-14,1.3744274280067061
2018-09-15,1.3661255415337419
2018-09-16,1.4167302329349052
2018-09-17,1.377731590161065
2018-09-18,1.3676750890868932
2018-09-19,1.3971870108105513
2018-09-20,1.40740866422281
2018-09-21,1.3711336417127695
2018-09-22,1.3846478682219563
2018-09-23,1.4083160871807376
2018-09-24,1.3893124174459126
2018-09-25,1.3633775435321014
2018-09-26,1.384633754191025
2018-09-27,1.3838263825691517
2018-09-28,1.3763884943919382
2018-09-29,1.3701870569813646
2018-09-30,1.3654343711557546
2018-10-01,1.3826364660412094
2018-10-02,1.3827928707469743
2018-10-03,1.3736679377196714
2018-10-04,1.3691622295417056
2018-10-05,1.6346273935554516
2018-10-06,1.7091040926644054
2018-10-07,1.703195377437044
2018-10-08,1.7859367822186003
2018-10-09,1.778646946715584
2018-10-10,1.759034915583594
2018-10-11,1.5893025188297567
2018-10-12,1.5799363333196954
2018-10-13,1.6103257025175761
2018-10-14,1.599459545575014
2018-10-15,1.460993389581776
2018-10-16,1.45387304240714
2018-10-17,1.514572158695915
2018-10-18,1.5093113986655595
2018-10-19,1.5023589645039948
2018-10-20,1.5133624575488636
2018-10-21,1.5710497577256888
2018-10-22,1.563435364931795
2018-10-23,1.5560379393539119
2018-10-24,1.5632242728794148
2018-10-25,1.5856178042346025
